6.0 , 216.0 , 47.8539428711 , 1 , 1291205041.51
334.0 , 264.0 , 43.0116271973 , 1 , 1291205043.13
30.0 , 58.0 , 40.8166618347 , 1 , 1291205065.7
72.0 , 72.0 , 65.5133590698 , 1 , 1291205065.97
46.0 , 62.0 , 31.8904380798 , 1 , 1291205066.25
26.0 , 56.0 , 22.8254241943 , 1 , 1291205066.52
24.0 , 102.0 , 33.8378486633 , 1 , 1291205066.8
24.0 , 166.0 , 33.6154708862 , 1 , 1291205067.88
40.0 , 174.0 , 32.2800254822 , 1 , 1291205068.16
428.0 , 190.0 , 27.7848873138 , 1 , 1291205068.44
98.0 , 106.0 , 79.3095169067 , 2 , 1291205068.72
48.0 , 186.0 , 39.0128173828 , 1 , 1291205069.0
132.0 , 90.0 , 76.4787521362 , 2 , 1291205069.28
140.0 , 82.0 , 71.5891036987 , 2 , 1291205069.84
106.0 , 198.0 , 59.4810905457 , 1 , 1291205070.12
124.0 , 188.0 , 52.8866729736 , 1 , 1291205070.4
146.0 , 174.0 , 34.2344856262 , 1 , 1291205070.67
268.0 , 116.0 , 80.7217407227 , 2 , 1291205072.61
380.0 , 206.0 , 46.1735839844 , 1 , 1291205075.91
408.0 , 226.0 , 62.4819984436 , 1 , 1291205076.47
228.0 , 218.0 , 55.0090904236 , 1 , 1291205076.76
440.0 , 222.0 , 46.8401527405 , 1 , 1291205077.05
446.0 , 232.0 , 39.8246154785 , 1 , 1291205077.34
92.0 , 216.0 , 72.2495651245 , 1 , 1291205077.62
484.0 , 224.0 , 62.2896461487 , 1 , 1291205077.91
568.0 , 326.0 , 70.3846588135 , 2 , 1291205078.2
518.0 , 228.0 , 50.1198577881 , 1 , 1291205078.5
446.0 , 112.0 , 92.0271682739 , 4 , 1291205078.8
528.0 , 92.0 , 80.5046615601 , 2 , 1291205079.09
546.0 , 84.0 , 90.0888442993 , 3 , 1291205079.39
364.0 , 338.0 , 158.619033813 , 15 , 1291205079.9
518.0 , 120.0 , 82.8552932739 , 2 , 1291205080.19
542.0 , 116.0 , 85.0881881714 , 2 , 1291205080.48
568.0 , 130.0 , 74.0 , 2 , 1291205080.76
216.0 , 246.0 , 59.6657371521 , 1 , 1291205081.05
634.0 , 260.0 , 38.2099456787 , 1 , 1291205081.32
